trial,accuracy,loss,ensemble_size,tag
bagging_ensemble_size32,96.69,0.112,32,deg1
bagging_ensemble_size32,96.68,0.113,30,deg1
bagging_ensemble_size32,96.68,0.116,25,deg1
bagging_ensemble_size32,96.68,0.116,24,deg1
bagging_ensemble_size32,96.68,0.119,19,deg1
bagging_ensemble_size32,96.67,0.113,29,deg1
bagging_ensemble_size32,96.67,0.117,22,deg1
bagging_ensemble_size32,96.66,0.112,31,deg1
bagging_ensemble_size32,96.66,0.117,23,deg1
bagging_ensemble_size32,96.66,0.118,21,deg1
bagging_ensemble_size32,96.65,0.114,27,deg1
bagging_ensemble_size32,96.65,0.115,26,deg1
bagging_ensemble_size32,96.64,0.118,20,deg1
bagging_ensemble_size32,96.63,0.114,28,deg1
bagging_ensemble_size32,96.58,0.12,18,deg1
bagging_ensemble_size32,96.57,0.121,17,deg1
bagging_ensemble_size32,96.57,0.121,16,deg1
bagging_ensemble_size32,96.55,0.125,12,deg1
bagging_ensemble_size32,96.53,0.122,15,deg1
bagging_ensemble_size32,96.52,0.123,14,deg1
bagging_ensemble_size32,96.51,0.124,13,deg1
bagging_ensemble_size32,96.47,0.126,11,deg1
bagging_ensemble_size32,96.35,0.128,10,deg1
bagging_ensemble_size32,96.35,0.13,9,deg1
bagging_ensemble_size32,96.33,0.13,8,deg1
bagging_ensemble_size32,96.27,0.131,7,deg1
bagging_ensemble_size32,96.2,0.135,6,deg1
bagging_ensemble_size32,96.07,0.142,5,deg1
bagging_ensemble_size32,96.04,0.148,4,deg1
bagging_ensemble_size32,95.55,0.164,3,deg1
bagging_ensemble_size32,94.84,0.192,2,deg1
bagging_ensemble_size32,93.57,0.247,1,deg1
